Equivalent widths of CH4 and NH3 as function of airmass
along equator. Units are nm
Number of locations =          551
Airmass,   W_CH4,  W_NH3
      2.00971      2.22200     0.532692
      2.01061      2.11500     0.506871
      2.01176      2.23140     0.519087
      2.01317      2.26526     0.559390
      2.01483      2.35420     0.593954
      2.01674      2.42292     0.629731
      2.01891      2.40343     0.651400
      2.02134      2.40109     0.665677
      2.02403      2.35910     0.674870
      2.02698      2.32078     0.676901
      2.03020      2.33045     0.696075
      2.03369      2.38616     0.659430
      2.01358      2.06901     0.459149
      2.01218      2.06455     0.441039
      2.01105      2.08817     0.453040
      2.01017      2.09719     0.459904
      2.00955      2.13836     0.448023
      2.00919      2.12901     0.468288
      2.00908      2.12986     0.513457
      2.00923      2.11973     0.514270
      2.00963      2.21152     0.512397
      2.01028      2.13327     0.551300
      2.01119      2.20217     0.542452
      2.01234      2.30922     0.545775
      2.01375      2.29832     0.594701
      2.01542      2.35122     0.644801
      2.01734      2.39969     0.692534
      2.01952      2.40864     0.697407
      2.02536      2.04915     0.434973
      2.02262      2.04835     0.431589
      2.02015      2.04514     0.459115
      2.01796      2.03132     0.454996
      2.01604      2.07319     0.467865
      2.01438      2.10536     0.485210
      2.01299      2.08376     0.488503
      2.01186      2.06797     0.489898
      2.01099      2.12123     0.490118
      2.01038      2.16837     0.516780
      2.01002      2.16354     0.531865
      2.00992      2.16006     0.547789
      2.01007      2.16621     0.584006
      2.01047      2.20300     0.553247
      2.01113      2.23240     0.539576
      2.01204      2.26309     0.577463
      2.04449      2.09262     0.514112
      2.04029      2.13661     0.486240
      2.03639      2.15139     0.486118
      2.03279      2.09237     0.468132
      2.02948      2.07810     0.484473
      2.02645      2.08648     0.460042
      2.02371      2.10059     0.468450
      2.02125      2.06186     0.516877
      2.01905      2.08626     0.460640
      2.01713      2.15152     0.492345
      2.01548      2.17384     0.549004
      2.01409      2.14235     0.537497
      2.01296      2.12302     0.524944
      2.01209      2.14755     0.556980
      2.01148      2.17168     0.539410
      2.01113      2.15827     0.564644
      2.07789      2.14473     0.524581
      2.07171      2.19381     0.532724
      2.06588      2.18517     0.555429
      2.06039      2.15665     0.538232
      2.05524      2.14544     0.534518
      2.05041      2.12716     0.510128
      2.04589      2.11878     0.532457
      2.04169      2.14547     0.508736
      2.03778      2.11483     0.515319
      2.03418      2.10461     0.529667
      2.03086      2.05754     0.515203
      2.02784      2.07580     0.502352
      2.02509      2.13585     0.531974
      2.02263      2.17940     0.581704
      2.02044      2.22770     0.526428
      2.01852      2.19560     0.538659
      2.01686      2.20728     0.592284
      2.11624      2.17429     0.566886
      2.10814      2.16141     0.593928
      2.10043      2.21059     0.594144
      2.09313      2.21292     0.624370
      2.08621      2.22472     0.600704
      2.07965      2.19600     0.572014
      2.07346      2.18659     0.569672
      2.06763      2.15490     0.604233
      2.06213      2.15649     0.599918
      2.05696      2.18419     0.582576
      2.05212      2.16466     0.554931
      2.04760      2.16401     0.552300
      2.04339      2.14307     0.569513
      2.03948      2.15641     0.578672
      2.03587      2.08147     0.573750
      2.03255      2.14277     0.571059
      2.02952      2.16488     0.559243
      2.16579      2.08345     0.527506
      2.15537      2.10943     0.549860
      2.14544      2.10014     0.591873
      2.13599      2.14610     0.546046
      2.12699      2.14555     0.569629
      2.11844      2.16229     0.555611
      2.11031      2.17599     0.597330
      2.10258      2.16586     0.615463
      2.09526      2.22179     0.626156
      2.08832      2.29075     0.632025
      2.08175      2.15258     0.627209
      2.07554      2.15010     0.611659
      2.06969      2.19626     0.592710
      2.06418      2.15623     0.595581
